"rowid","household_number","survey_year","reference_quarter","province","capital","sex","place_birth","age","nationality","formal_educ_system","professional_training","retirement_status","household_duties","part-time_empl","reason_reduced_work","search_work","search_reason","JORB","search_steps","search_method","search_months","availability","relation_to_activity1","relation_to_activity2","main_occupation","main_activity","main_prof_situation","main_sector","contract_type","hours","relationship","elevator","matricule"
8051,3548,2023,1,48,9,6,1,11,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,5,0,1,"195.0487","8051_3548"
8052,3548,2023,1,48,9,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,3,4,2,1,40,2,"222.6221","8052_3548"
8053,3548,2023,1,48,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"210.2715","8053_3548"
8054,3549,2023,1,1,2,1,2,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,9,4,1,NA,NA,1,"127.7078","8054_3549"
8055,3549,2023,1,1,2,6,2,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,9,4,1,NA,NA,2,"133.9812","8055_3549"
8056,3550,2023,1,48,1,1,1,10,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,3,4,2,NA,NA,4,"241.9616","8056_3550"
8057,3550,2023,1,48,1,1,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,3,4,2,1,40,1,"223.6357","8057_3550"
8058,3551,2023,1,48,1,6,1,10,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,4,7,4,2,1,20,1,"220.4849","8058_3551"
8059,3551,2023,1,48,1,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"236.4796","8059_3551"
8060,3551,2023,1,48,1,6,1,4,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"252.7353","8060_3551"
8061,3551,2023,1,48,1,1,1,3,1,"S","N",4,4,NA,NA,"N",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"254.6031","8061_3551"
8062,3552,2023,1,20,9,6,2,13,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,2,4,2,NA,NA,2,"144.1735","8062_3552"
8063,3552,2023,1,20,9,1,1,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,4,4,2,NA,NA,1,"213.6339","8063_3552"
8064,3552,2023,1,20,9,6,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,5,40,3,"149.2123","8064_3552"
8065,3553,2023,1,20,9,1,2,16,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,2,1,4,2,NA,NA,1,"120.9299","8065_3553"
8066,3553,2023,1,20,9,6,2,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,4,2,NA,NA,2,"128.3416","8066_3553"
8067,3554,2023,1,48,9,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,32,2,"265.1875","8067_3554"
8068,3554,2023,1,48,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"238.1532","8068_3554"
8069,3554,2023,1,48,9,1,1,9,1,"S","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,4,4,2,1,40,1,"296.506","8069_3554"
8070,3554,2023,1,48,9,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"238.1532","8070_3554"
8071,3555,2023,1,1,9,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,1,40,1,"68.0206","8071_3555"
8072,3555,2023,1,1,9,6,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,40,2,"69.6171","8072_3555"
8073,3555,2023,1,1,9,1,1,5,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"66.1012","8073_3555"
8074,3556,2023,1,48,9,6,2,18,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,1,"108.9367","8074_3556"
8075,3557,2023,1,1,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"43.3943","8075_3557"
8076,3557,2023,1,1,9,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,4,4,2,1,40,1,"44.8002","8076_3557"
8077,3557,2023,1,1,9,6,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,2,4,2,1,40,2,"43.3877","8077_3557"
8078,3558,2023,1,20,9,6,1,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,9,4,2,NA,NA,1,"271.4255","8078_3558"
8079,3558,2023,1,20,9,6,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,5,40,2,"156.1614","8079_3558"
8080,3558,2023,1,20,9,6,1,5,1,"N","N",4,2,2,2,"N",NA,NA,"",NA,NA,"",1,3,2,9,4,2,2,10,3,"225.3486","8080_3558"
8081,3559,2023,1,1,9,6,2,18,1,"N","N",4,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,9,10,4,2,NA,NA,1,"59.6446","8081_3559"
8082,3560,2023,1,48,9,6,1,12,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,1,"131.4444","8082_3560"
8083,3561,2023,1,1,9,1,1,12,1,"N","N",4,3,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,1,38,1,"38.6227","8083_3561"
8084,3561,2023,1,1,9,6,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,9,4,1,2,38,2,"36.9543","8084_3561"
8085,3561,2023,1,1,9,1,1,5,1,"S","N",4,4,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,3,NA,NA,40,3,"39.1939","8085_3561"
8086,3562,2023,1,20,9,6,1,14,1,"N","S",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,4,4,1,NA,NA,1,"147.7258","8086_3562"
8087,3563,2023,1,48,9,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,40,4,"262.5806","8087_3563"
8088,3563,2023,1,48,9,6,1,11,1,"N","N",4,1,2,2,"S",3,2,"S",7,5,"S",1,2,5,4,4,2,1,20,1,"222.7134","8088_3563"
8089,3563,2023,1,48,9,1,3,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,40,4,"249.098","8089_3563"
8090,3563,2023,1,48,9,1,1,3,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"254.4036","8090_3563"
8091,3564,2023,1,48,9,1,1,8,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,9,4,3,NA,NA,0,2,"228.7232","8091_3564"
8092,3564,2023,1,48,9,6,1,1,1,"N","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"188.4211","8092_3564"
8093,3564,2023,1,48,9,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,9,4,3,NA,NA,24,1,"221.7991","8093_3564"
8094,3565,2023,1,20,9,1,1,7,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,3,NA,NA,40,1,"219.173","8094_3565"
8095,3566,2023,1,20,3,6,1,10,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,1,35,1,"148.4426","8095_3566"
8096,3566,2023,1,20,3,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,40,2,"159.1058","8096_3566"
8097,3566,2023,1,20,3,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"145.4413","8097_3566"
8098,3566,2023,1,20,3,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"145.4413","8098_3566"
8099,3566,2023,1,20,3,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"160.2722","8099_3566"
8100,3567,2023,1,20,9,1,1,8,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,40,1,"208.2295","8100_3567"
8101,3567,2023,1,20,9,6,1,7,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,9,4,4,2,1,20,2,"238.2394","8101_3567"
8102,3567,2023,1,20,9,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"163.3617","8102_3567"
8103,3567,2023,1,20,9,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"163.3617","8103_3567"
8104,3568,2023,1,48,9,1,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,4,4,2,1,40,1,"241.9734","8104_3568"
8105,3569,2023,1,20,3,1,1,1,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"153.0067","8105_3569"
8106,3569,2023,1,20,3,1,3,8,2,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,7,4,2,NA,NA,16,1,"267.4916","8106_3569"
8107,3569,2023,1,20,3,6,3,8,2,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,10,4,2,1,40,2,"229.4794","8107_3569"
8108,3569,2023,1,20,3,1,1,1,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"153.0067","8108_3569"
8109,3570,2023,1,48,1,6,2,17,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,2,"174.1364","8109_3570"
8110,3570,2023,1,48,1,1,1,18,1,"N","N",2,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,2,8,2,NA,NA,NA,1,"174.1777","8110_3570"
8111,3571,2023,1,48,9,6,1,16,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,4,4,2,NA,NA,1,"182.8375","8111_3571"
8112,3572,2023,1,20,9,6,1,6,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,40,2,"200.9711","8112_3572"
8113,3572,2023,1,20,9,1,1,6,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,40,1,"179.3016","8113_3572"
8114,3573,2023,1,48,9,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,3,4,2,5,40,1,"200.8261","8114_3573"
8115,3573,2023,1,48,9,6,1,5,1,"S","N",4,3,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,8,4,2,NA,NA,3,"202.769","8115_3573"
8116,3574,2023,1,1,9,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,2,10,4,2,1,45,1,"18.8654","8116_3574"
8117,3575,2023,1,20,3,1,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,3,2,NA,NA,40,1,"160.5511","8117_3575"
8118,3576,2023,1,48,1,6,1,12,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,10,4,2,NA,NA,1,"233.4227","8118_3576"
8119,3576,2023,1,48,1,1,2,11,1,"N","N",4,1,NA,NA,"S",6,2,"S",1,60,"S",2,5,7,2,4,2,NA,NA,4,"209.9066","8119_3576"
8120,3577,2023,1,1,9,1,2,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,2,4,2,NA,NA,1,"32.0754","8120_3577"
8121,3577,2023,1,1,9,6,2,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,8,4,2,NA,NA,2,"33.6511","8121_3577"
8122,3578,2023,1,48,1,1,3,13,1,"N","N",4,1,2,5,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,5,0,2,"134.5083","8122_3578"
8123,3578,2023,1,48,1,6,3,13,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,3,NA,NA,21,1,"136.4368","8123_3578"
8124,3579,2023,1,20,9,1,2,16,1,"N","N",2,3,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,8,2,3,NA,NA,NA,1,"123.9424","8124_3579"
8125,3579,2023,1,20,9,6,2,16,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,4,4,2,NA,NA,2,"131.5388","8125_3579"
8126,3580,2023,1,20,9,1,1,16,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,3,2,4,2,NA,NA,1,"109.6252","8126_3580"
8127,3580,2023,1,20,9,6,1,16,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,2,4,2,NA,NA,2,"116.3441","8127_3580"
8128,3581,2023,1,48,9,6,2,17,1,"N","N",2,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,5,4,4,2,NA,NA,1,"161.7537","8128_3581"
8129,3581,2023,1,48,9,1,1,9,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,1,4,2,2,40,2,"110.1393","8129_3581"
8130,3582,2023,1,48,9,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,2,4,2,1,40,1,"207.5562","8130_3582"
8131,3582,2023,1,48,9,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,40,2,"215.6861","8131_3582"
8132,3582,2023,1,48,9,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"186.7783","8132_3582"
8133,3583,2023,1,48,1,6,1,13,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,2,4,2,NA,NA,1,"252.4887","8133_3583"
8134,3584,2023,1,48,9,1,2,18,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,8,2,4,2,NA,NA,1,"307.2307","8134_3584"
8135,3584,2023,1,48,9,6,2,18,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,4,2,NA,NA,2,"307.1578","8135_3584"
8136,3584,2023,1,48,9,6,1,11,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,35,3,"205.2249","8136_3584"
8137,3585,2023,1,20,9,1,2,13,1,"N","N",3,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,6,4,2,NA,NA,1,"150.0041","8137_3585"
8138,3585,2023,1,20,9,6,1,7,1,"N","N",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,39,3,"186.5786","8138_3585"
8139,3585,2023,1,20,9,6,1,12,1,"N","N",4,1,NA,NA,"S",6,2,"S",7,39,"S",2,5,9,8,4,2,NA,NA,2,"125.3891","8139_3585"
8140,3586,2023,1,48,9,1,1,10,1,"N","N",4,2,1,3,"N",NA,NA,"",NA,NA,"",1,2,4,9,4,1,1,0,3,"202.7392","8140_3586"
8141,3586,2023,1,48,9,6,1,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,10,2,NA,NA,NA,1,"309.066","8141_3586"
8142,3587,2023,1,20,3,6,1,10,1,"N","S",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,9,4,2,NA,NA,2,"178.7313","8142_3587"
8143,3587,2023,1,20,3,1,1,4,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,10,4,2,NA,NA,3,"179.346","8143_3587"
8144,3587,2023,1,20,3,6,1,4,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"176.6139","8144_3587"
8145,3587,2023,1,20,3,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,4,4,1,1,35,1,"177.7574","8145_3587"
8146,3588,2023,1,1,9,6,1,10,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,5,36,1,"50.7067","8146_3588"
8147,3589,2023,1,20,9,6,1,13,1,"N","N",4,1,NA,NA,"S",6,2,"S",7,84,"S",2,5,5,4,4,2,NA,NA,2,"111.5937","8147_3589"
8148,3589,2023,1,20,9,1,1,13,1,"N","N",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,40,1,"130.0153","8148_3589"
8149,3590,2023,1,20,9,6,1,14,1,"N","S",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,4,4,2,NA,NA,1,"140.7321","8149_3590"
8150,3591,2023,1,48,9,6,2,17,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,9,4,2,NA,NA,1,"176.449","8150_3591"
8151,3592,2023,1,20,3,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,1,40,1,"159.9382","8151_3592"
8152,3592,2023,1,20,3,6,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,5,4,2,1,40,2,"154.5527","8152_3592"
8153,3592,2023,1,20,3,1,1,5,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"160.8972","8153_3592"
8154,3592,2023,1,20,3,6,1,4,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"155.4627","8154_3592"
8155,3593,2023,1,48,1,1,1,8,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,0,1,"231.9356","8155_3593"
8156,3593,2023,1,48,1,6,1,8,1,"N","N",4,1,NA,NA,"S",6,2,"S",5,8,"S",2,5,4,5,4,2,NA,NA,2,"257.7842","8156_3593"
8157,3593,2023,1,48,1,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"200.44","8157_3593"
8158,3594,2023,1,48,9,1,1,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,4,2,NA,NA,NA,1,"160.4961","8158_3594"
8159,3594,2023,1,48,9,6,2,13,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,4,4,2,NA,NA,2,"160.458","8159_3594"
8160,3595,2023,1,20,9,1,1,12,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,2,4,2,1,40,1,"152.4473","8160_3595"
8161,3595,2023,1,20,9,6,1,4,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"144.7519","8161_3595"
8162,3596,2023,1,48,9,1,1,9,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,4,4,1,1,39,1,"273.7422","8162_3596"
8163,3596,2023,1,48,9,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,9,4,1,1,39,2,"259.822","8163_3596"
8164,3596,2023,1,48,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"238.3937","8164_3596"
8165,3596,2023,1,48,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"238.3937","8165_3596"
8166,3597,2023,1,20,3,6,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,40,1,"132.8697","8166_3597"
8167,3598,2023,1,48,1,6,3,7,2,"N","N",4,1,NA,NA,"S",6,2,"S",7,7,"S",2,5,1,7,4,2,NA,NA,1,"322.5016","8167_3598"
8168,3598,2023,1,48,1,1,2,7,2,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,40,2,"337.3423","8168_3598"
8169,3598,2023,1,48,1,6,3,1,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"225.2282","8169_3598"
8170,3599,2023,1,1,9,1,1,17,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,2,3,NA,NA,NA,4,"84.4279","8170_3599"
8171,3599,2023,1,1,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"39.5051","8171_3599"
8172,3599,2023,1,1,9,1,1,11,1,"N","N",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,4,4,2,1,40,2,"43.7527","8172_3599"
8173,3599,2023,1,1,9,6,1,11,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,30,1,"42.6727","8173_3599"
8174,3599,2023,1,1,9,1,1,18,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,7,2,4,2,NA,NA,4,"84.4279","8174_3599"
8175,3600,2023,1,48,9,1,1,10,1,"N","S",4,1,NA,NA,"S",6,2,"S",8,26,"S",2,5,7,5,4,2,NA,NA,1,"284.9945","8175_3600"
8176,3600,2023,1,48,9,6,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,35,2,"227.1457","8176_3600"
8177,3600,2023,1,48,9,1,1,3,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"265.4581","8177_3600"
8178,3600,2023,1,48,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"246.5619","8178_3600"
8179,3601,2023,1,20,9,1,1,11,1,"N","N",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,1,1,40,1,"177.5902","8179_3601"
8180,3601,2023,1,20,9,6,2,11,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,2,4,2,NA,NA,2,"176.6804","8180_3601"
8181,3601,2023,1,20,9,6,1,3,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"174.5873","8181_3601"
8182,3601,2023,1,20,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"178.3707","8182_3601"
8183,3602,2023,1,20,9,6,1,5,1,"N","N",4,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,2,10,4,2,NA,NA,3,"241.5634","8183_3602"
8184,3602,2023,1,20,9,6,2,12,1,"N","N",4,1,2,4,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,23,2,"169.3357","8184_3602"
8185,3602,2023,1,20,9,1,1,5,1,"N","N",4,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,3,10,4,2,NA,NA,3,"176.2871","8185_3602"
8186,3602,2023,1,20,9,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,9,4,1,1,40,1,"175.1972","8186_3602"
8187,3603,2023,1,1,9,1,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,1,40,1,"19.1172","8187_3603"
8188,3604,2023,1,20,9,6,1,10,1,"N","N",4,1,1,5,"S",4,2,"S",5,12,"S",1,2,5,4,4,2,1,0,2,"118.9801","8188_3604"
8189,3604,2023,1,20,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"116.1613","8189_3604"
8190,3604,2023,1,20,9,1,1,11,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,25,1,"127.0003","8190_3604"
8191,3605,2023,1,1,9,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,1,40,1,"18.4377","8191_3605"
8192,3606,2023,1,48,9,1,2,17,1,"N","N",2,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,7,2,4,2,NA,NA,1,"163.3733","8192_3606"
8193,3606,2023,1,48,9,6,2,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,2,"163.3345","8193_3606"
8194,3606,2023,1,48,9,6,1,10,1,"N","N",4,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,8,2,4,2,NA,NA,3,"109.0019","8194_3606"
8195,3607,2023,1,48,9,6,1,11,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,2,"177.6994","8195_3607"
8196,3607,2023,1,48,9,1,1,6,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,4,4,2,NA,NA,3,"277.8158","8196_3607"
8197,3607,2023,1,48,9,1,1,13,1,"N","N",3,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"213.6567","8197_3607"
8198,3608,2023,1,1,2,6,1,18,1,"N","N",4,3,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,NA,NA,NA,NA,NA,NA,2,"343.199","8198_3608"
8199,3608,2023,1,1,2,1,1,18,1,"N","N",2,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,8,2,4,2,NA,NA,1,"327.1295","8199_3608"
8200,3608,2023,1,1,2,6,1,11,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,3,9,4,1,1,45,3,"165.3422","8200_3608"
8201,3609,2023,1,48,9,6,2,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,4,4,2,NA,NA,2,"170.8671","8201_3609"
8202,3609,2023,1,48,9,1,2,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,3,2,NA,NA,NA,1,"170.9077","8202_3609"
8203,3610,2023,1,20,3,6,1,1,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"166.8857","8203_3610"
8204,3610,2023,1,20,3,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"151.4429","8204_3610"
